Date,Centre_Name,Commodity_Name,Price
15-01-09,SRINAGAR,Tomato,NA
15-01-09,JAMMU,Tomato,NA
15-01-09,AMRITSAR,Tomato,NA
15-01-09,LUDHIANA,Tomato,NA
15-01-09,LUCKNOW,Tomato,NA
15-01-09,DEHRADUN,Tomato,NA
15-01-09,RAIPUR,Tomato,NA
15-01-09,AHMEDABAD,Tomato,NA
15-01-09,BHOPAL,Tomato,NA
15-01-09,MUMBAI,Tomato,NA
15-01-09,JAIPUR,Tomato,400
15-01-09,PATNA,Tomato,NA
15-01-09,RANCHI,Tomato,NA
15-01-09,BHUBANESHWAR,Tomato,NA
15-01-09,KOLKATA,Tomato,NA
15-01-09,GUWAHATI,Tomato,NA
15-01-09,SHILLONG,Tomato,NA
15-01-09,AIZWAL,Tomato,NA
15-01-09,KOHIMA,Tomato,NA
15-01-09,AGARTALA,Tomato,NA
15-01-09,BENGALURU,Tomato,NA
15-01-09,T.PURAM,Tomato,NA
15-01-09,CHENNAI,Tomato,NA
15-01-09,HYDERABAD,Tomato,NA
16-01-09,CHANDIGARH,Tomato,NA
16-01-09,DELHI,Tomato,NA
16-01-09,SHIMLA,Tomato,NA
16-01-09,SRINAGAR,Tomato,NA
16-01-09,JAMMU,Tomato,NA
16-01-09,AMRITSAR,Tomato,NA
16-01-09,LUDHIANA,Tomato,NA
16-01-09,LUCKNOW,Tomato,NA
16-01-09,DEHRADUN,Tomato,NA
16-01-09,RAIPUR,Tomato,NA
16-01-09,AHMEDABAD,Tomato,NA
16-01-09,BHOPAL,Tomato,NA
16-01-09,MUMBAI,Tomato,NA
16-01-09,JAIPUR,Tomato,400
16-01-09,PATNA,Tomato,NA
16-01-09,RANCHI,Tomato,NA
16-01-09,BHUBANESHWAR,Tomato,NA
16-01-09,KOLKATA,Tomato,NA
16-01-09,GUWAHATI,Tomato,NA
16-01-09,SHILLONG,Tomato,NA
16-01-09,AIZWAL,Tomato,NA
16-01-09,KOHIMA,Tomato,NA
16-01-09,AGARTALA,Tomato,NA
16-01-09,BENGALURU,Tomato,NA
16-01-09,T.PURAM,Tomato,NA
16-01-09,CHENNAI,Tomato,NA
16-01-09,HYDERABAD,Tomato,NA
19-01-09,CHANDIGARH,Tomato,NA
19-01-09,DELHI,Tomato,NA
19-01-09,SHIMLA,Tomato,NA
19-01-09,SRINAGAR,Tomato,NA
19-01-09,JAMMU,Tomato,NA
19-01-09,AMRITSAR,Tomato,NA
19-01-09,LUDHIANA,Tomato,NA
19-01-09,LUCKNOW,Tomato,NA
19-01-09,DEHRADUN,Tomato,NA
19-01-09,RAIPUR,Tomato,NA
19-01-09,AHMEDABAD,Tomato,NA
19-01-09,BHOPAL,Tomato,NA
19-01-09,MUMBAI,Tomato,NA
19-01-09,JAIPUR,Tomato,400
19-01-09,PATNA,Tomato,NA
19-01-09,RANCHI,Tomato,NA
19-01-09,BHUBANESHWAR,Tomato,NA
19-01-09,KOLKATA,Tomato,NA
19-01-09,GUWAHATI,Tomato,NA
19-01-09,SHILLONG,Tomato,NA
19-01-09,AIZWAL,Tomato,NA
19-01-09,KOHIMA,Tomato,NA
19-01-09,AGARTALA,Tomato,NA
19-01-09,BENGALURU,Tomato,NA
19-01-09,T.PURAM,Tomato,NA
19-01-09,CHENNAI,Tomato,NA
19-01-09,HYDERABAD,Tomato,NA
20-01-09,CHANDIGARH,Tomato,NA
20-01-09,DELHI,Tomato,NA
20-01-09,SHIMLA,Tomato,NA
20-01-09,SRINAGAR,Tomato,NA
20-01-09,JAMMU,Tomato,NA
20-01-09,AMRITSAR,Tomato,NA
20-01-09,LUDHIANA,Tomato,NA
20-01-09,LUCKNOW,Tomato,NA
20-01-09,DEHRADUN,Tomato,NA
20-01-09,RAIPUR,Tomato,NA
20-01-09,AHMEDABAD,Tomato,NA
